"city";"people"
"Tirana";"Pjeter,Krujë,Etëhem,Krujë-Tirana,James Baker,Mother Teresa,Erion Veliaj,Veliaj,Stefano Boeri,Armando Brasini,Justinian,Ilir Meta,Ahmed Pasha Toptani,Mujo,Haxhi Qamili,Molla,Sulejman Bargjini,Zhou Enlai,Benito Mussolini,Molla Bey,Kohler,Stalin Boulevard,Castellani,Dušan Mugoša,Miladin Popovic,Domenik,Ali Demi Street,Bashkimi,Victor Emmanuel III,John Paul II,Hahn,Rama,Nikita Khrushchev,King of the Albanians.Tirana,Toptani,Edi Rama,Eshref Frashëri,Weiss,Skanderbeg,George W. Bush,Gherardo Bosio,Marin Barleti,Hoxha,Ismail Qemali,Lulzim Basha,Oskar Fischer,Enver Hoxha,Sanjak"
"Vienna";"Virgil,Leon Trotsky,Duke Henry II Jasomirgott,Sigmund Freud,Bruckner,Engelbert Dollfuss,Philip Kerr,Adolf Loos,Koloman,Leopold I of Babenberg,Graham Greene,Ludwig Wittgenstein,Bruno Kreisky,Mahler,Fergil,Babenberg,Adolf Hitler,Anthony Nutting,Colman,Joseph Stalin,Joseph Tito,Richard Strauss,Brahms"
"Minsk";"Peter,Charles XII,Kievan Rus,Alexander I Jagiellon,Polotsk,Casimir IV,Zavodski,Tsar Alexei,John II Casimir"
"Brussels";"Philip the Handsome,Duke,Mary of Burgundy,Louis XIV,Mary,William I of Orange,Charles,Gaugericus,Gudula,Senne,Dukes,Charles the Bold,Jules Anspach,Maximilian,Nancy,Antoine,Flanders,Leopold,Habsburg,Leopold II,Napoleon,Auber,Charles V,Duke Charles of Lower Lotharingia,Margaret III,Philip the Bold"
"Antwerp";"Scheldt,Antwerpen,Marechal Gerard,Margaret,Godfrey,Silvius Brabo,Antverpia,Lionel,David Hendrik Chassé,Luc-Normand Tellier,Clarence,Napoleon,Francesco Guicciardini,John Lothrop Motley,Norbert,Vita Eligii,Antigoon,Philip II,Ragusa,Alessandro Farnese,Fernand Braudel,Otto II,Duke of Lower Lorraine,Chassé,Edward III,Alfred Michiels,Jacob van Artevelde,Dado,Amand,Bonaparte Dock"
"Sarajevo";"Husein Gradašcevic,Sophie,Gradsko Vijece,Tornik,Vekil-Harrach,Ragusan,Eugene of Savoy,Maks Luburic,Gavrilo Princip,Paul,Isa-Beg Isakovic,Tiberius,Hohenberg,Gazi Husrev-Bey,Gradska Uprava,Cyril,Stari Grad,Vladimir `` Walter '' Peric,Isa-Beg Ishakovic,Bašcaršija,Gazi Husrev-beg,Vrhbosna,Villa Luburic,Franz Ferdinand"
"Sofia";"Ptolemy,Gabriel Almosnino,Vasil Levski,Galerius,Justinian,Serdica,Dio Cassius,Komit Nikola,Suleiman Pasha,Khan Krum,Pliny,Nedelya Petkova,Dacia Ripensis,Leandre Legay,Dimitrov,Serdi,Catholic Ragusans,Sophia,Ivan Asen,Josef Valdhart,Samuil,Crassus,Khan Omurtag,Georgi Dimitrov Mausoleum,John I Tzimiskes,Marin Drinov,Vrazhdebna,Diocletian,Iosif Gurko,Damyan,Trajan,Vito Positano,Sanjak"
"Zagreb";"Ladislaus,Jarun,Bela IV,Janko Kamauf,Blato,Gradec,Josip Jelacic,Joseph II Zagreb"
"Nicosia";"Doge Francesco Donati,Joan,Lusignan,Makarios III,Isaac Komnenos,Kaimakli,Richard,Berengaria,Spyridon,Sophia Cathedral.Nicosia,Ledra,Saint Tryphillius,Piyale Pasha,Franks,Pasha,Nikos Sampson,Esarhaddon,Larnaca,Onasagoras,Pedieos"
"Prague";"Hitler,Jan Kubiš,Maroboduus,Wenceslaus IV,David Solomon Ganz,Joseph II,Jan Hus,Libuše,Elizabeth Jane Weston,Charles IV,Frederick the Great,Frederick,John Wycliffe,Frederick V,Rudolf II,Tomáš Garrigue Masaryk,Alexander Dubcek,Ptolemaios,Staré Mesto,Malá Strana,Judith,Arcimboldo,Boyya,Jan Žižka,Marcomanni,Tycho Brahe,Josefov,Premysl,Jan Želivský,Vladislav Hall,Cyriacus Spangenberg,Edward Kelley,Karlín,Reinhard Heydrich,Habsburg,Hus,Otto II,Jozef Gabcík,Nové Mesto,Ferdinand I of the House of Habsburg,Jan Zajíc,Johannes Kepler,Rudolf,John Dee,Vladislaus,Ferdinand II,Ibrahim ibn Ya,Holy Roman Emperor,Sigismund"
"Copenhagen";"Gottlieb Bindesbøll,Parker,Christianhavn,Strøget,King Valdemar I. On Absalon,Nicolai Eigtved,Sweyn,Købmannahavn,Malmö,Gammel Torv,Basil Embry,Lund,Lübeck,Bishop Absalon,Christoffer Valkendorff,Nelson,Børsen,Mærsk Mc-Kinney Møller,Jakob Erlandsen,Adolf Hitler,Hyde Parker,Horatio Nelson,Ole Lippman,Pope Urban III,Frederik,Charles X,Eric,Christiansborg,Saxo Grammaticus,Absalon,C.W. Eckersberg,Nyholm,Bernard Montgomery,C.F. Hansen,Jan Gehl"
"Tallinn";"Toompea,Nicholas II,Kivisilla,Harku,Alexandra,Pikakari,Tsarina Alexandra,Thomas,Edward VII,Reval"
"Helsinki";"Kallio,Vironniemi,C. L. Engel,Pääkaupunkiseutu,Alexander,Helsinginniemi,Kauniainen,Huvudstadsregionen,Gustav"
"Paris";"Frank,Sidney Bechet,Georges Pompidou,Pont Alexandre III,Joan,James Joyce,Louis XIV,Louis Philippe,Louis XVI,Henry V,Diderot,Maurice de Sully,Henri Matisse,Monet,Pablo Picasso,Anne Hidalgo,Lutetia Parisiorum,Hugh Capet,Vikings,Courbet,Napoleon Bonaparte,Bertrand Delanoë,Zhou Enlai,Valéry Giscard,Georges-Eugène Haussmann,Igor Stravinsky,Gaul,Modigliani,Ernest Hemingway,Philip Augustus,Bois de Vincennes,Léopold Sédar Senghor,Jacques Chirac,Napoleon III,Nicolas Sarkozy,Jean Sylvain Bailly,Charles de Gaulle,Louis-Philippe,Paul Verlaine,Île-de-la-Citie,Manet,Franks,Charlie Hebdo,François Mitterrand,Henry IV,Marcel Proust,Salvador Dalí,Denis,Richelieu,Josephine Baker,Napoléon Bonaparte,Charles Baudelaire,Louis XIII"
"Lyon";"Epipodius,Luigi Alamanni,Irenaeus,Klaus Barbie,Maurice Scève,Antoine Heroet,Lugdunum,Septimius Severus,Marcus Aurelius,Jean-Marie Collot,Louise Labé,Dio Cassius,Joseph Fouché,Lothair,Lyons,Lugus,Napoleon,Gian Giorgio Trissino,Braudel,Claudius,Lyon"
"Marseille";"Julius Caesar.Marseille,Caesar,Charles Martel"
"Cologne";"Rainald,Bruno,Hermann Claasen,Frederick III,Albertus Magnus,Schwarz,Rudolf Schwarz,Düren,Paul Melchers,Freiherr Roeder von Diersburg,Berg,Charles,Constantine,Militärbereichshauptkommandoquartier,Clemens August von Droste-Vischering,Ursula,Charlemagne,Sigfried II von Westerburg,Chilperic II,Dassel,Roer,Charles Martel,Jülich,Napoleon,Adenauer,Konrad Adenauer,Otto,St. Kunibert,Marius,Département Roer,Ripuarian Franks,Hildebold"
"Berlin";"Stadtrandsiedlung Malchow,Hohenzollern,Albert Einstein,Frederick III,Frederick William,Philipp Scheidemann,Steglitz,Britz,Franks,Imperii,Charlie,John Cicero,Frederick,Alt-Treptow,John F. Kennedy,Prenzlauer Berg,Dorotheenstadt,Berlin-Cölln,Königsberg,George William,Albrecht III Achilles,Novgorod,Frederick II,Französisch Buchholz,Adolf Hitler,Pankow,Marzahn-Hellersdorf,Malchow,Frederick II Irontooth,Schmöckwitz,Windisch,Steglitz-Zehlendorf,Altglienicke,Rudow,Buch,Napoleon Bonaparte,Saxon"
"Frankfurt";"Karl Theodor Anton Maria von Dalberg,Napoleon,Beaucaire,Bismarck,S.D. Goitein,Maximilian II,Grand Duke,Dalberg,Konrad Adenauer,Römer,Ludwig Landmann,Eugène de Beauharnais,Habsburg Emperor,Franks,Nida,Prince de Venise,Charlemagne,Franz II,Friedrich II"
"Athens";"Conn O'Neill,Wolff,Aodh Buidhe O'Neill,Thomas Russell,Harland,Henry Joy McCracken,Theobald Wolfe,Arthur Chichester,Cloinne Aodha Buidhe"
"Budapest";"Nagy,Matthias Corvinus,Rudas Baths,Imre Nagy,Raoul Wallenberg,Giorgio Perlasca,Óbuda,Gábor Demszky,Carl Lutz,Tsar Simeon,Árpád,Bibliotheca Corviniana,Wallenberg,Stalin"
"Reykjavik";"Bobby Fischer,Ronald Reagan,Alþingi,Skúli Magnússon,Ingolf,Mikhail Gorbachev,Reykjarvík,Reykjavík,Ragnar Kjartansson,Sigur Rós,Boris Spassky,Landnamabok,Frederik V,Sjón"
"Dublin";"Mac Murrough,Ruaidhrí,Monaghan,Dublind,Táin Bó Cuailgne,Robert,Ptolemy,Dyflin,Vikings,Henry II,Norman,Muirchertach Mac Lochlainn,Dubhlinn,John,Elizabeth,Diarmait Mac Murchada"
"Milan";"Ambicatus,Visconti,Duke,Tangentopoli,Ferdinand I. Charles,Constantine,Cisalpine Gaul,Charles VIII,Filippo Maria Visconti,Ticinum,Louis,Justinian,Maximian,Lodovico,Torre Velasca,Radetzky,Le Cinque Giornate,Clara Petacci,Francesco,Benito Mussolini,Charlemagne,Licinius,Gaul,Ferdinand,Frederick I Barbarossa,Philip II,Philippe,Armani,Franks,Charles V,Bellovesus,François,Livy,Diocletian,Attila,Uraia,Charles II,Piazza Fontana,Louis of Orléans,Mussolini,Gnaeus Cornelius Scipio Calvus,Pavia"
